P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Responden
0.5113,0.8442,0.914,0.8682,1.0191,0.6769,0.6799,0.7015,1.0012,0.7766,-1.0,-0.866,R160
0.5113,1.3332,0.0775,0.6051,0.2768,0.5244,0.0509,0.108,0.9291,0.7766,-1.0,-0.866,R161
0.6211,0.4949,-0.4801,-0.0789,0.6698,0.5244,-0.3641,-1.0594,0.7851,0.7766,1.0,-0.866,R162
1.1149,0.8442,0.914,1.1313,0.8008,0.9437,0.439,0.7015,0.9291,0.7766,-1.0,-0.866,R163
0.6211,0.9839,0.4121,0.7104,0.3641,0.2957,-0.6987,-0.2325,-0.0072,0.7766,1.0,1.1547,R164
0.1821,0.4949,0.6352,0.9735,0.5388,0.2957,0.6398,0.6431,0.1368,-1.2877,-1.0,1.1547,R165
0.6759,0.006,0.3564,0.1842,0.0584,-0.0093,-0.6987,-0.6702,-0.3673,0.7766,1.0,-0.866,R166
0.6759,0.1457,-0.2013,0.4999,0.5825,0.6769,-0.779,-0.2325,0.0648,0.7766,-1.0,-0.866,R167
-0.0922,0.4949,0.4679,0.1842,0.4951,0.6387,0.5729,0.4485,0.4249,-1.2877,-1.0,-0.866,R168
0.4565,0.6346,-0.2013,-0.342,0.3204,0.6006,0.0375,-0.0379,-0.5114,0.7766,-1.0,-0.866,R169
1.1149,0.8442,0.4121,0.6577,0.2768,0.4863,-0.5515,-0.5243,0.2089,-1.2877,1.0,-0.866,R170
0.6211,0.8442,0.914,0.8682,0.6261,0.2957,0.6398,0.4291,0.3529,0.7766,1.0,-0.866,R171
0.5113,1.0537,0.6352,0.0263,0.5388,0.2957,-0.3775,-0.3784,-0.1513,0.7766,-1.0,1.1547,R172
0.1821,0.4949,0.6352,0.6051,0.9318,0.1051,-0.8459,-0.7189,0.1368,0.7766,1.0,-0.866,R173
-0.0922,-0.9719,-1.0377,-0.0789,0.2768,0.5244,-2.5592,-1.0107,-1.3757,0.7766,-1.0,1.1547,R174
0.4565,0.8442,0.914,-0.0789,-0.1599,0.2957,-0.5515,-0.4659,-0.2953,-1.2877,1.0,-0.866,R175
0.0724,-0.8322,0.5237,0.1842,-0.3346,0.6006,-0.3775,-0.68,-0.3673,-1.2877,-1.0,1.1547,R176
1.2246,0.8442,0.3564,0.0263,-0.1599,0.2957,-0.5247,-0.427,-0.2953,0.7766,-1.0,-0.866,R177
-0.0922,0.1457,0.3564,0.2894,0.2331,0.2957,-0.4042,-0.5924,-1.0876,-1.2877,-1.0,-0.866,R178
-0.586,-0.2036,0.5237,0.4473,0.1894,0.2957,-0.6987,-0.6216,0.1368,-1.2877,-1.0,-0.866,R179
-0.3666,-0.2036,0.0775,0.342,0.5388,0.1813,-0.8459,-1.0107,-0.1513,-1.2877,-1.0,-0.866,R180
0.1821,-0.2036,-0.4801,-0.1842,0.2768,0.4863,-0.6318,-0.1352,0.3529,-1.2877,1.0,-0.866,R181
0.1821,0.2854,0.4121,0.1315,-0.5966,0.1051,0.1713,0.2831,0.2089,0.7766,1.0,-0.866,R182
0.1821,-0.2036,0.0775,0.0789,-0.1599,0.1051,-0.5515,-0.3297,0.2809,0.7766,-1.0,-0.866,R183
